akceptuję akceptuji
akceptujesz akceptuješ
akceptuje akceptuje
analizuję analyzuji
analizujesz analyzuješ
analizuje analyzuje
angażuję angažuji
angażujesz angažuješ
angażuje angažuje
aresztuję zatknu
aresztujesz zatkneš
aresztuje zatkne
atakuję útočím
atakujesz útočíš
atakuje útočí
awansuję povýším
awansujesz povýšíš
awansuje povýší
badam bádám
badasz bádáš
bada bádá
biję biji
bijesz biješ
bije bije
błagam prosím
błagasz prosíš
błaga prosí
biorę beru
bierzesz bereš
bierze bere
bronię bráním
bronisz bráníš
broni brání
buduję stavím
budujesz stavíš
buduje staví
budzę budím
budzisz budíš
budzi budí
buntuję bouřím
buntujesz bouříš
buntuje bouří
burzę bourám
burzysz bouráš
burzy bourá
całuję líbám
całujesz líbáš
całuje líbá
chcę chci
chcesz chceš
chce chce
chowam chovám
chowasz chováš
chowa chová
chronię chráním
chronisz chráníš
chroni chrání
chwalę chválím
chwalisz chválíš
chwali chválí
chwycę chytnu
chwycisz chytneš
chwyci chytne
chwytam chytám
chwytasz chytáš
chwyta chytá
tnę řežu
tniesz řežeš
tnie řeže
ciskam házím
ciskasz házíš
ciska hází
cisnę tlačím
ciśniesz tlačíš
ciśnie tlačí
cofam couvám
cofasz couváš
cofa couvá
czaruję čaruji
czarujesz čaruješ
czaruje čaruje
zczę ctím
czcisz ctíš
czci ctí
czerpię čerpám
czerpiesz čerpáš
czerpie čerpá
czynię činím
czynisz činíš
czyni činí
czyszczę čistím
czyścisz čistíš
czyści čistí
czytam čtu
czytasz čteš
czyta čte
ćwiczę cvičím
ćwiczysz cvičíš
ćwiczy cvičí
dam dám
dasz dáš
da dá
daruję daruji
darujesz daruješ
daruje daruje
darzę obdaruji
darzysz obdaruješ
darzy obdaruje
daję dávám
dajesz dáváš
daje dává
denerwuję nervuji
denerwujesz nervuješ
denerwuje nervuje
depczę šlapu
depczesz šlapeš
depcze šlape
dmucham foukám
dmuchasz foukáš
dmucha fouká
dobijam dobíjím
dobijasz dobíjíš
dobija dobíjí
dobędę dobudu
dobędziesz dobudeš
dobędzie dobude
doceniam oceňuji
doceniasz oceňuješ
docenia oceňuje
docenię ocením
docenisz oceníš
doceni ocení
dochowam dochovám
dochowasz dochováš
dochowa dochová
docieram dospěji
docierasz dospěješ
dociera dospěje
dodam přidám
dodasz přidáš
doda přidá
dodaję přidávám
dodajesz přidáváš
dodaje přidává
dogonię doženu
dogonisz doženeš
dogoni dožene
dojadę dojedu
dojedziesz dojedeš
dojedzie dojede
dojrzewam dozraji
dojrzewasz dozraješ
dojrzewa dozraje
dokończę dokončím
dokończysz dokončíš
dokończy dokončí
dopasuję přizpůsobím
dopasujesz přizpůsobíš
dopasuje přizpůsobí
dopadnę dopadnu
dopadniesz dopadneš
dopadnie dopadne
dopełnię doplním
dopełnisz doplníš
dopełni doplní
dopilnuję dohlédnu
dopilnujesz dohlédneš
dopilnuje dohlédne
doprowadzę přivedu
doprowadzisz přivedeš
doprowadzi přivede
dopuszczam připouštím
dopuszczasz připouštíš
dopuszcza připouští
dopuszczę připustím
dopuścisz připustíš
dopuści připustí
dorwę dopadnu
dorwiesz dopadneš
dorwie dopadne
dosłyszę doslechnu
dosłyszysz doslechneš
dosłyszy doslechne
dostarczam dodávám
dostarczasz dodáváš
dostarcza dodává
dostarczę dodám
dostarczysz dodáš
dostarczy dodá
dostosuję přizpůsobím
dostosujesz přizpůsobíš
dostosuje přizpůsobí
dotrę dorazím
dotrzesz dorazíš
dotrze dorazí
dotrzymam dodržím
dotrzymasz dodržíš
dotrzyma dodrží
dotrzymuję dodržuji
dotrzymujesz dodržuješ
dotrzymuje dodržuje
dowiodę dokážu
dowiedziesz dokážeš
dowiedzie dokáže
drapię drápu
drapiesz drápeš
drapie drápe
drażnię dráždím
drażnisz dráždíš
drażni dráždí
dręczę trápím
dręczysz trápíš
dręczy trápí
drukuję tisknu
drukujesz tiskneš
drukuje tiskne
drę trhám
drzesz trháš
drze trhá
duszę dusím
dusisz dusíš
dusi dusí
dyskutuję diskutuji
dyskutujesz diskutuješ
dyskutuje diskutuje
dysponuję disponuji
dysponujesz disponuješ
dysponuje disponuje
dzielę dělím
dzielisz dělíš
dzieli dělí
dźwigam zvedám
dźwigasz zvedáš
dźwiga zvedá
ewakuuję evakuuji
ewakuujesz evakuuješ
ewakuuje evakuuje
formuję formuji
formujesz formuješ
formuje formuje
gaszę hasím
gasisz hasíš
gasi hasí
gładzę hladím
gładzisz hladíš
gładzi hladí
głaskam hladím
głaskasz hladíš
głaska hladí
głoszę hlásám
głosisz hlásáš
głosi hlásá
głosuję hlasuji
głosujesz hlasuješ
głosuje hlasuje
gnam ženu
gnasz ženeš
gna žene
godzę smířím
godzisz smíříš
godzi smíří
golę holím
golisz holíš
goli holí
gonię honím
gonisz honíš
goni honí
goszczę hostím
gościsz hostíš
gości hostí
gotuję vařím
gotujesz vaříš
gotuje vaří
gram hraji
grasz hraješ
gra hraje
gromadzę hromadím
gromadzisz hromadíš
gromadzi hromadí
gryzę koušu
gryziesz koušeš
gryzie kouše
grzebię hrabu
grzebiesz hrabeš
grzebie hrabe
gwizdam pískám
gwizdasz pískáš
gwizda píská
hamuję brzdím
hamujesz brzdíš
hamuje brzdí
hoduję chovám
hodujesz chováš
hoduje chová
informuję informuji
informujesz informuješ
informuje informuje
jadam jím
jadasz jíš
jada jí
jąkam koktám
jąkasz koktáš
jąka koktá
jem jím
jesz jíš
je jí
karzę trestám
karzesz trestáš
karze trestá
karmię krmím
karmisz krmíš
karmi krmí
kieruję řídím
kierujesz řídíš
kieruje řídí
kiwam kývám
kiwasz kýváš
kiwa kývá
kładę kladu
kładziesz kladeš
kładzie klade
kocham miluji
kochasz miluješ
kocha miluje
kojarzę spojuji
kojarzysz spojuješ
kojarzy spojuje
kołyszę houpám
kołyszesz houpeš
kołysze houpe
komponuję komponuji
komponujesz komponuješ
komponuje komponuje
koncentruję koncentruji
koncentrujesz koncentruješ
koncentruje koncentruje
kontaktuję kontaktuji
kontaktujesz kontaktuješ
kontaktuje kontaktuje
kontroluję kontroluji
kontrolujesz kontroluješ
kontroluje kontroluje
kontynuuję pokračuji
kontynuujesz pokračuješ
kontynuuje pokračuje
kończę končím
kończysz končíš
kończy končí
kopię kopu
kopiesz kopeš
kopie kope
kradnę kradu
kradniesz kradeš
kradnie krade
krępuję svazuji
krępujesz svazuješ
krępuje svazuje
krwawię krvácím
krwawisz krvácíš
krwawi krvácí
kryję kryji
kryjesz kryješ
kryje kryje
krytykuję kritizuji
krytykujesz kritizuješ
krytykuje kritizuje
krzywdzę křivdím
krzywdzisz křivdíš
krzywdzi křivdí
kształcę vzdělávám
kształcisz vzděláváš
kształci vzdělává
kształtuję tvaruji
kształtujesz tvaruješ
kształtuje tvaruje
kupię koupím
kupisz koupíš
kupi koupí
kupuję kupuji
kupujesz kupuješ
kupuje kupuje
kuszę lákám
kusisz lákáš
kusi láká
leję leji
lejesz leješ
leje leje
leczę léčím
leczysz léčíš
leczy léčí
liczę počítám
liczysz počítáš
liczy počítá
liżę lížu
liżesz lížeš
liże líže
ładuję nabíjím
ładujesz nabíjíš
ładuje nabíjí
łagodzę mírním
łagodzisz mírníš
łagodzi mírní
łamię lámu
łamiesz lámeš
łamie láme
łapię chytám
łapiesz chytáš
łapie chytá
łączę spojuji
łączysz spojuješ
łączy spojuje
łowię lovím
łowisz lovíš
łowi loví
łudzę klamu
łudzisz klameš
łudzi klame
macham mávám
machasz máváš
macha mává
maluję maluji
malujesz maluješ
maluje maluje
mamroczę mumlám
mamroczesz mumláš
mamrocze mumlá
marnuję plýtvám
marnujesz plýtváš
marnuje plýtvá
masuję masíruji
masujesz masíruješ
masuje masíruje
mącę kalím
mącisz kalíš
mąci kalí
meldę hlásím
meldujesz hlásíš
melduje hlásí
męczę mučím
męczysz mučíš
męczy mučí
mierzę měřím
mierzysz měříš
mierzy měří
mieszam míchám
mieszasz mícháš
miesza míchá
mijam míjím
mijasz míjíš
mija míjí
miłuję miluji
miłujesz miluješ
miłuje miluje
miotam vrhám
miotasz vrháš
miota vrhá
mnożę násobím
mnożysz násobíš
mnoży násobí
morduję vraždím
mordujesz vraždíš
morduje vraždí
mówię mluvím
mówisz mluvíš
mówi mluví
mruczę vrčím
mruczysz vrčíš
mruczy vrčí
myję myji
myjesz myješ
myje myje
nabieram nabíráš
nabierasz nabíráš
nabiera nabírá
nabiorę naberu
nabierzesz nabereš
nabierze nabere
nabędę nabudu
