aksamitna sametová
alarmowa poplachová
artystyczna umělecká
atomowa atomová
autentyczna autentická
automatyczna automatická
badawcza badatelská
barczysta ramenatá
barwna barevná
basowa basová
betonowa betonová
bezbarwna bezbarvá
bezbronna bezbranná
bezcenna neocenitelná
bezczelna nestydatá
bezgłośna bezhlučná
bezimienna bezejmenná
bezlitosna nelítostná
bezmyślna bezmyšlenkovitá
beznadziejna beznadějná
bezpieczna bezpečná
bezpośrednia přímá
bezradna bezmocná
bezsensowna nesmyslná
bezsilna bezmocná
beztroska bezstarostná
bezużyteczna zbytečná
bezwładna bezvládná
bezwzględna bezohledná
białowłosa bělovlasá
biskupia biskupská
blada bledá
blaszana plechová
błędna chybná
błękitna modrá
błoga blažená
błyskawiczna blesková
bohaterska hrdinská
bojowa bojová
bolesna bolestivá
boska božská
bosa bosá
brązowa hnědá
brodata vousatá
brudna špinavá
brunatna hnědá
brzydka ošklivá
bujna bujná
bura šedá
burzliwa bouřlivá
bystra bystrá
całkowita celková
carska carská
celna přesná
cenna cenná
cesarska císařská
chaotyczna chaotická
charakterystyczna charakteristická
chciwa chamtivá
chemiczna chemická
chłodna chladná
chłopięca chlapecká
chłopska selská
chmurna mračná
cholerna zatracená
chrapliwa chraplavá
chrześcijańska křesťanská
chwiejna nejistá
chwilowa chvilková
chytra chytrá
ciasna těsná
ciągła souvislá
cicha tichá
ciekawa zajímavá
ciekła kapalná
ciemnowłosa tmavovlasá
ciemna tmavá
cienka tenká
ciepła teplá
cierpka trpká
cierpliwa trpělivá
ciężka těžká
cna ctná
cudna krásná
cudowna úžasná
cwana mazaná
cyniczna cynická
czarodziejska kouzelná
czasowa časová
czcigodna ctihodná
czterdziesta čtyřicátá
czujna ostražitá
czuła citlivá
czysta čistá
daleka daleká
daremna marná
dawna dávná
delikatna jemná
deszczowa deštivá
dębowa dubová
diabelska ďábelská
długa dlouhá
dłużna dlužná
dobroduszna dobromyslná
dobrotliwa dobrotivá
dodatkowa dodatečná
dokładna přesná
dokuczliwa obtížná
donośna zvučná
dostępna dostupná
dostojna důstojná
doświadczona zkušená
dotkliwa citelná
dowcipna vtipná
dowolna libovolná
dramatyczna dramatická
drapieżna dravá
drażliwa dráždivá
drewniana dřevěná
drobna drobná
drogocenna drahocenná
dumna hrdá
durna hloupá
duża velká
dworska dvorská
dzicza divoká
dziecięca dětská
dziecinna dětinská
dzielna statečná
dziwaczna podivná
dziwna divná
dźwięczna zvučná
egzotyczna exotická
ekonomiczna ekonomická
elastyczna pružná
elektroniczna elektronická
elektryczna elektrická
energiczna energická
fajna skvělá
fałszywa falešná
fantastyczna fantastická
fatalna osudná
filmowa filmová
filozoficzna filozofická
fioletowa fialová
fizyczna fyzická
fotograficzna fotografická
gadatliwa upovídaná
gazowa plynová
genetyczna genetická
gęsta hustá
giętka pružná
gigantyczna gigantická
gliniana hliněná
gładka hladká
głęboka hluboká
głośna hlasitá
głucha hluchá
gniewna hněvivá
goła nahá
gorączkowa horečnatá
gorliwa horlivá
gorzka hořká
gospodarcza hospodářská
gościnna pohostinná
gotowa připravená
górska horská
granatowa tmavě
groźna hrozivá
grzeczna slušná
gumowa gumová
gwałtowna prudká
gwiezdna hvězdná
hałaśliwa hlučná
harda hrdá
histeryczna hysterická
historyczna historická
hojna štědrá
honorowa čestná
identyczna identická
idiotyczna idiotská
ironiczna ironická
istna pravá
istotna podstatná
jadowita jedovatá
jaka jaká
jałowa jalová
jaskrawa křiklavá
jasnowłosa světlovlasá
jasna světlá
jawna zjevná
jednolita jednotná
jednoznaczna jednoznačná
jedwabna hedvábná
kaleka mrzácká
kamienna kamenná
każda každá
kiepska špatná
klasyczna klasická
kłopotliwa obtížná
kobieca ženská
kolczasta ostnatá
komiczna komická
komórkowa buněčná
komputerowa počítačová
komunistyczna komunistická
konieczna nutná
końcowa konečná
końska koňská
korzystna výhodná
kosmiczna vesmírná
kosztowna drahá
koścista kostnatá
kowalska kovářská
