administracja administrativa
afera aféra
agencja agentura
alternatywa alternativa
aluzja narážka
analiza analýza
antena anténa
architektura architektura
armia armáda
atmosfera atmosféra
aura aura
aureola aureola
awantura hádka
awaria porucha
babcia babička
babka babka
babunia babička
bajka pohádka
ballada balada
banda banda
bańka bublina
bariera bariéra
barka bárka
barwa barva
barykada barikáda
baza základna
biblioteka knihovna
bieda bída
bitwa bitva
blizna jizva
blokada blokáda
blondyna blondýna
bluza mikina
bluzka halenka
bomba bomba
bójka rvačka
brama brána
broda brada
bryczka bryčka
brygada brigáda
brzoza bříza
brzytwa břitva
buda bouda
budka bouda
budowa stavba
budowla stavba
bulwa hlíza
buzia pusa
cegła cihla
cela cela
cena cena
cenzura cenzura
chała chala
chałupa chalupa
chata chata
chwała sláva
ciocia teta
ciotka teta
córka dcera
czarodziejka čarodějka
czaszka lebka
cząstka částečka
czupryna čupřina
daga dýka
dama dáma
dawka dávka
delta delta
deska deska
diagnoza diagnóza
doba doba
doktryna doktrína
dorożka drožka
droga cesta
dróżka cestička
duma pýcha
dwójka dvojka
dyscyplina disciplína
dziewczyna dívka
dziewczynka holčička
dziewica panna
dziewka děvka
dziewucha holka
dziura díra
egzekucja poprava
elita elita
epoka epocha
era éra
eskadra letka
eskorta eskorta
etyka etika
fabryka továrna
fajka dýmka
fala vlna
familia rodina
farba barva
farma farma
farsa fraška
fasada fasáda
figura postava
figurka figurka
firma firma
fizyka fyzika
flaga vlajka
flora flóra
flota flotila
flotylla flotila
fontanna fontána
forma forma
furgonetka dodávka
furtka branka
gałązka větvička
gamma gama
garstka hrstka
gąbka houba
gęba huba
giga giga
gitara kytara
gleba půda
gloria sláva
głębia hloubka
głowa hlava
główka hlavička
godzina hodina
gorączka horečka
gospoda hospoda
góra hora
gra hra
gromada hromada
gromadka hromádka
groza hrůza
groźba hrozba
grupa skupina
grupka skupinka
grypa chřipka
grzywa hříva
guma guma
gwardia garda
gwiazda hvězda
gwiazdka hvězdička
hala hala
hańba hanba
